Status,Date,Name,Completion,Resource
,,Phase 1 - Content Foundation,No,
Not started,,🎤 Watch the Camera Presence modules,No,
Not started,,🎥 Watch the Foundation of Content modules,Yes,
Not started,,🎥 Watch the Visual Identity Modules,Yes,
Not started,,👕 Optimise your Visual Identity,Yes,
Not started,,"💡 Optimise your Filming Setup (eg. lighting, audio, framing)",Yes,
Not started,,"📱 Optimise your IG profile (bio, name field, link, photo)",No,
Not started,,📌 Create your Pinned Posts,Yes,
Not started,,📞 Book 1-1 Call with Content Specialist (Only after you’ve implemented the above),Yes,
,,,No,
,,Phase 2 - Messaging,No,
Not started,,🎥 Watch the Brand Positioning modules,No,
Not started,,🧭 Define your Content Messaging Pillars,No,
Not started,,🎥 Watch the TOF Masterclass modules,Yes,
Not started,,📈 Start Testing 3-5 NEW Content Formats,Yes,
Not started,,🪝 Write your Hooks & Scripts & get them Reviewed by the Content Specialist,Yes,
Not started,,📞 Attend Content Review Calls for direct feedback,Yes,
Not started,,📱 Hit your Posting Cadence (eg. 1 reel/day on IG + 1 video/week on YT),No,
Not started,,📣 Share your first breakout (a piece that beats your average) 🏆 (Milestone: First Breakout),No,
,,,No,
,,Phase 4 - Conversion,No,
Not started,,🎥 Watch the MOF Masterclass modules,Yes,
Not started,,🗺️ Map your prospect's buying journey A to Z + build content per stage,No,
Not started,,🧱 List the Objections stopping prospects from buying and convert these into Videos,No,
Not started,,"📹 Publish your MOF Content ",No,
Not started,,📞 Check-in call to review your Organic Content Funnel,No,
,,,No,
,,Phase 5 - Feedback Loop,No,
Not started,,🎥 Watch the Feedback Loop modules,No,
Not started,,🔎 Cross-reference your Onboarding Document for why people buy into you,No,
Not started,,📈 Double down on your Best Performers,No,
Not started,,🔁 Pinpoint Common Patterns Clients Buy Into You From Onboarding Document,No,
,,,No,
,,Phase 6 - Scaling,No,
Not started,,📞 Client Interview w/ SooWei,No,
Not started,,📞 Graduation Call: Celebrate + Plan Next Steps,No,
Not started,,"🎓 Apply for Advisory Group Coaching ",No,
