phase_num,phase_label,phase_id,phase_title,phase_subtitle,phase_color,item_num,item_id,step,optional,internal_href,sop_url,guides,links,recording,description
"00","Phase 0","onboarding","Onboarding","Get set up: join the community, complete your forms, and submit your foundational docs.","#c9a455","1","meet-team","Meet The C-Suite","","","","","Loom walkthrough | https://www.loom.com/share/a8cba596836145a187ac5fb353edaf8f","","Knowing who's in your corner — and how the team operates — sets the tone for everything ahead."
"00","Phase 0","onboarding","Onboarding","Get set up: join the community, complete your forms, and submit your foundational docs.","#c9a455","2","join-discord","Join Our Brand Architect Discord","","","","","Join Here | https://discord.gg/SkW9zak6EK","","It's your home base — support, community, and every important update live here."
"00","Phase 0","onboarding","Onboarding","Get set up: join the community, complete your forms, and submit your foundational docs.","#c9a455","3","complete-forms","Complete Both Onboarding Forms","","","","","In-app form: Onboarding Form (primary) ; In-app form: Buyer Mirror Form (secondary)","","Your answers let us tailor your strategy, content, and calls to you — no generic advice."
"00","Phase 0","onboarding","Onboarding","Get set up: join the community, complete your forms, and submit your foundational docs.","#c9a455","4","introduce-yourself","Introduce Yourself in the Community","","","","","Example screenshot | /onboarding/community-intro-example-3.png","","A quick hello plugs you into the community and gets you support from day one."
"00","Phase 0","onboarding","Onboarding","Get set up: join the community, complete your forms, and submit your foundational docs.","#c9a455","5","video-modules","Get Access to Video Modules","","/modules","","","","","Your core training library — everything you need to execute lives in here."
"00","Phase 0","onboarding","Onboarding","Get set up: join the community, complete your forms, and submit your foundational docs.","#c9a455","6","offer-foundation","Watch the Offer Foundation Modules","","","","","Embedded modules: Offer Pitch Deck ; Bonuses and Guarantees ; Pricing Your Offer (Group Call) ; Crafting an Irresistible Offer ; Product Market Fit ; Cash Injection Actionables Checklist","","A sharp offer is the foundation everything else is built on — tighten it before you document and market it."
"00","Phase 0","onboarding","Onboarding","Get set up: join the community, complete your forms, and submit your foundational docs.","#c9a455","7","market-research","Fill Out Market Research Documents","","","","In-app doc: market-research","Market Research Doc | https://docs.google.com/document/d/1Xg3qMiem2dqXRjzWN9hrHTWpiecOjMoREZZNfOQpq5w/edit?usp=sharing","","Deep market clarity is the foundation every high-converting offer and post is built on."
"00","Phase 0","onboarding","Onboarding","Get set up: join the community, complete your forms, and submit your foundational docs.","#c9a455","8","offer-docs","Fill Out Offer Documents","","","","In-app doc: offer-doc","Offer Doc | https://docs.google.com/document/d/181wHjQQ7QmktXgQzvZ4zD5jmLD7-PxQt0YGsmbfts8M/edit?usp=sharing","","A sharp, well-packaged offer is what makes your content and sales actually convert."
"00","Phase 0","onboarding","Onboarding","Get set up: join the community, complete your forms, and submit your foundational docs.","#c9a455","9","submit-docs","Submit Market Research & Offer Docs For Approval","","","","","PDF upload required","","We review your foundations before you build on them — so you never scale the wrong thing."
"00","Phase 0","onboarding","Onboarding","Get set up: join the community, complete your forms, and submit your foundational docs.","#c9a455","10","mindset-modules","Watch the Mindset Shifts Video Modules","","","","","Embedded modules: Mindset ; Removing Limiting Beliefs To Make $151k/mo ; Break Your Old Identity ; Maximising Goh Consulting ; Nero Mastermind Call","","Get your head right first — these shifts make all the tactical work actually stick."
"00","Phase 0","onboarding","Onboarding","Get set up: join the community, complete your forms, and submit your foundational docs.","#c9a455","11","referral-doc","Go Through Our Referral Document","","","","In-app doc: referral-program","Referral Document | https://docs.google.com/document/d/1S8olUwIfKtw5Bz5SOeLb6dWnUu4zFAh9/edit?usp=sharing&ouid=115865873155516455509&rtpof=true&sd=true","","Understand how referrals and commissions work so you can earn while you grow."
"00","Phase 0","onboarding","Onboarding","Get set up: join the community, complete your forms, and submit your foundational docs.","#c9a455","12","calendar-calls","Add the Group Calls to Your Calendar","","","","","Monday — Content Mastermind w/ Yash | https://calendar.google.com/calendar/event?action=TEMPLATE&tmeid=MG9xMHExbTZjczRldGZxbzN0bjRhMTY3aWlfMjAyNjA0MjdUMTYwMDAwWiBjXzNmOGZiZjkyOGEwNGQwNDAwNjZiYjAxMTdjNTE1ODU2ZDJkYWFhOWIzNDJiNDhlZmYyNzNhM2QyZmUwZTgzM2ZAZw&tmsrc=c_3f8fbf928a04d040066bb0117c515856d2daaa9b342b48eff273a3d2fe0e833f%40group.calendar.google.com&scp=ALL ; Wednesday — Brand Architect w/ SooWei | https://calendar.google.com/calendar/event?action=TEMPLATE&tmeid=YWt2Y2UyOXR0NzgzdWdpbGl2OGRiNTBhanBfMjAyNTExMTlUMTcwMDAwWiBjXzNmOGZiZjkyOGEwNGQwNDAwNjZiYjAxMTdjNTE1ODU2ZDJkYWFhOWIzNDJiNDhlZmYyNzNhM2QyZmUwZTgzM2ZAZw&tmsrc=c_3f8fbf928a04d040066bb0117c515856d2daaa9b342b48eff273a3d2fe0e833f%40group.calendar.google.com&scp=ALL ; Scripting Mastermind w/ Aidan | https://calendar.google.com/calendar/event?action=TEMPLATE&tmeid=dDBlbG85cmRncWZqdmoyYnQ3Z2h1Z3JndjhfMjAyNjA0MjRUMTYwMDAwWiBjXzNmOGZiZjkyOGEwNGQwNDAwNjZiYjAxMTdjNTE1ODU2ZDJkYWFhOWIzNDJiNDhlZmYyNzNhM2QyZmUwZTgzM2ZAZw&tmsrc=c_3f8fbf928a04d040066bb0117c515856d2daaa9b342b48eff273a3d2fe0e833f%40group.calendar.google.com&scp=ALL","","The weekly group calls are where the fastest progress happens — never miss one."
"00","Phase 0","onboarding","Onboarding","Get set up: join the community, complete your forms, and submit your foundational docs.","#c9a455","13","book-fanbasis","Book Your Onboarding With Our Fanbasis Rep","","","","","Book your Fanbasis onboarding | https://www.fanbasis.com/book/soowei","","Sets up your billing cleanly so nothing ever blocks your cash flow."
"00","Phase 0","onboarding","Onboarding","Get set up: join the community, complete your forms, and submit your foundational docs.","#c9a455","14","onboarding-call","Hop on Onboarding Call with Client Success Manager","","","","","Book your onboarding call (default / icp) | https://calendly.com/kimchi-gohconsulting/onboarding-strategy ; Book your onboarding call (low_icp) | https://calendly.com/kimchi-gohconsulting/funnel-leakage","","Meet your Client Success Manager and map your personal game plan — where it all comes together."
"01","Phase 1","content-foundation","Content Foundation","Set your visual identity, optimise your profile, and build your content base.","#4ade80","1","r100a","Re-Watch Offer Foundation Modules","TRUE","/modules?m=8","","","","","If applicable: revisit the “Sharpening the Offer” modules to tighten your offer before building content on top of it. Skip if your offer is already dialled in."
"01","Phase 1","content-foundation","Content Foundation","Set your visual identity, optimise your profile, and build your content base.","#4ade80","2","r100b","Re-Do your Product Market Fit & Offer Doc","TRUE","","","","","","If applicable: refresh your Product Market Fit and Offer documents so your messaging is built on a current, sharp offer. Skip if these are already up to date."
"01","Phase 1","content-foundation","Content Foundation","Set your visual identity, optimise your profile, and build your content base.","#4ade80","3","r101","Watch the Camera Presence modules","","","","","","","Learn to show up confidently and naturally on camera — the delivery that makes your content land."
"01","Phase 1","content-foundation","Content Foundation","Set your visual identity, optimise your profile, and build your content base.","#4ade80","4","r102","Watch the Foundation of Content modules","","/modules?m=19","","","","","The core fundamentals of content that attracts and converts — your starting point. Opens the Content Accelerator modules."
"01","Phase 1","content-foundation","Content Foundation","Set your visual identity, optimise your profile, and build your content base.","#4ade80","5","r103","Watch the Visual Identity Modules","","/hub","","","","","Understand the look and feel that makes your brand instantly recognisable. Find these in your recordings."
"01","Phase 1","content-foundation","Content Foundation","Set your visual identity, optimise your profile, and build your content base.","#4ade80","6","r104","Optimise your Visual Identity","","","","Visual Identity Optimisation | /guides/visual-identity","","",""
"01","Phase 1","content-foundation","Content Foundation","Set your visual identity, optimise your profile, and build your content base.","#4ade80","7","r105","Optimise your Filming Setup (eg. lighting, audio, framing)","","","https://experienced-munchkin-ee3.notion.site/Camera-Gear-List-be450efb645582fea4c1011266425aab","","","","Dial in lighting, audio, and framing so your videos look and sound professional. See the Camera Gear List."
"01","Phase 1","content-foundation","Content Foundation","Set your visual identity, optimise your profile, and build your content base.","#4ade80","8","r106","Optimise your IG profile (bio, name field, link, photo)","","","","Optimised IG Profile | /guides/ig-profile","","",""
"01","Phase 1","content-foundation","Content Foundation","Set your visual identity, optimise your profile, and build your content base.","#4ade80","9","r107","Create your Pinned Posts","","","https://nickel-binder-b69.notion.site/Video-Frameworks-2ddd2a33e63380d2bd7ff2be632416af","","","","Pin the posts that introduce you and your offer so new visitors get the right first impression. See the Video Frameworks."
"01","Phase 1","content-foundation","Content Foundation","Set your visual identity, optimise your profile, and build your content base.","#4ade80","10","r108","Book 1-1 Call with Content Specialist (Only after you've implemented the above)","","","","","Book your 1-1 call | https://calendly.com/aidanlukecordes/new-meeting","","Once you've implemented the above, book a 1-1 with your Content Specialist for tailored feedback."
"02","Phase 2","messaging","Messaging","Sharpen your positioning and messaging pillars, then start posting and testing.","#60a5fa","1","r109","Watch the Brand Positioning modules","","","","","","","Define the angle that sets you apart and makes your content magnetic to the right people."
"02","Phase 2","messaging","Messaging","Sharpen your positioning and messaging pillars, then start posting and testing.","#60a5fa","2","r110","Define your Content Messaging Pillars","","","","Content Messaging Pillars | /guides/messaging-pillars","","",""
"02","Phase 2","messaging","Messaging","Sharpen your positioning and messaging pillars, then start posting and testing.","#60a5fa","3","r111","Watch the TOF Masterclass modules","","/hub","","Top of Funnel Content | /guides/tof-content","","",""
"02","Phase 2","messaging","Messaging","Sharpen your positioning and messaging pillars, then start posting and testing.","#60a5fa","4","r112","Start Testing 3-5 NEW Content Formats","","","","","","","Experiment with new formats to find what resonates and earns reach."
"02","Phase 2","messaging","Messaging","Sharpen your positioning and messaging pillars, then start posting and testing.","#60a5fa","5","r113","Write your Hooks & Scripts & get them Reviewed by the Content Specialist","","","","","","","Script strong hooks and get them reviewed by your Content Specialist before filming."
"02","Phase 2","messaging","Messaging","Sharpen your positioning and messaging pillars, then start posting and testing.","#60a5fa","6","r114","Attend Content Review Calls for direct feedback","","","","","Mastermind Call w/ SooWei (Wed) | https://calendar.google.com/calendar/u/0/r/eventedit?dates=20260617T170000/20260617T180000&details=For+Coaches+of+every+bracket.+In+this+weekly+Mastermind+Call+with+Soowei,+he+will+be+going+over+new+high+level+concepts+each+week+on+how+you+can+grow+your+business+to+$30k+-+$100k/mo&location=https://us06web.zoom.us/j/6698939694?pwd%3Dcm9qYlVwaEhnVVlUTDkvd0QveVJZZz09&recur=RRULE:FREQ%3DWEEKLY;INTERVAL%3D1;BYDAY%3DWE&text=Mastermind+Call+w/+SooWei ; Content Mastermind w/ Yash (Mon) | https://calendar.google.com/calendar/u/0/r/eventedit?dates=20260622T170000/20260622T180000&details=Yash+will+be+covering+all+facets+of+content+related+to+creative+direction,+cinematics,+story+telling+and+more+weekly+on+Monday.&location=https://us06web.zoom.us/j/85450222635?pwd%3Di5RMbLT98XRvFsaDENgUULaZDntt2Q.1&recur=RRULE:FREQ%3DWEEKLY;INTERVAL%3D1;BYDAY%3DMO&text=Content+Mastermind+w/+Yash ; Scripting Mastermind w/ Aidan (Fri) | https://calendar.google.com/calendar/u/0/r/eventedit?dates=20260619T170000/20260619T180000&details=You%27ll+be+going+over+key+components+in+scripting+content+w/+Aidan+every+week+to+understand+on+how+to+dial+in+your+content+through+better+scripts+and+frameworks&location=https://us05web.zoom.us/j/81621884284&recur=RRULE:FREQ%3DWEEKLY;INTERVAL%3D1;BYDAY%3DFR&text=Scripting+Mastermind+W/+Aidan","","Bring your content to the weekly mastermind calls for direct, specific feedback. Add them to your calendar:"
"02","Phase 2","messaging","Messaging","Sharpen your positioning and messaging pillars, then start posting and testing.","#60a5fa","7","r115","Hit your Posting Cadence (eg. 1 reel/day on IG + 1 video/week on YT)","","","","Posting Cadence | /guides/posting-cadence","","",""
"02","Phase 2","messaging","Messaging","Sharpen your positioning and messaging pillars, then start posting and testing.","#60a5fa","8","r116","Share your first breakout (a piece that beats your average) (Milestone: First Breakout)","","","","","","",""
"03","Phase 3","conversion","Conversion","Turn attention into buyers — MOF content, objections, and the buying journey.","#f59e0b","1","r117","Watch the MOF Masterclass modules","","/hub","","","","Watch: MOF Content (category: brand_architect, match: mof|middle of funnel)",""
"03","Phase 3","conversion","Conversion","Turn attention into buyers — MOF content, objections, and the buying journey.","#f59e0b","2","r118","Map your prospect's buying journey A to Z + build content per stage","","","","Buyer's Journey | /guides/buyers-journey","","",""
"03","Phase 3","conversion","Conversion","Turn attention into buyers — MOF content, objections, and the buying journey.","#f59e0b","3","r119","List the Objections stopping prospects from buying and convert these into Videos","","","","Converting Objections into Content | /guides/objections-into-content","","",""
"03","Phase 3","conversion","Conversion","Turn attention into buyers — MOF content, objections, and the buying journey.","#f59e0b","4","r120","Publish your MOF Content","","","","Middle of Funnel Content | /guides/mof-content","","",""
"03","Phase 3","conversion","Conversion","Turn attention into buyers — MOF content, objections, and the buying journey.","#f59e0b","5","r121","Check-in call to review your Organic Content Funnel","","","","","","","Review your full organic funnel with your team to find and fix the leaks."
"04","Phase 4","feedback-loop","Feedback Loop","Review, refine, and double down on what your audience responds to.","#e879f9","1","r122","Watch the Feedback Loop modules","","","","","","","Learn the system for reading your data and turning it into better content."
"04","Phase 4","feedback-loop","Feedback Loop","Review, refine, and double down on what your audience responds to.","#e879f9","2","r123","Cross-reference your Onboarding Document for why people buy into you","","","","Reverse Engineering Your Onboarding Form | /guides/onboarding-form","","",""
"04","Phase 4","feedback-loop","Feedback Loop","Review, refine, and double down on what your audience responds to.","#e879f9","3","r124","Double down on your Best Performers","","","","","","","Identify your top-performing pieces and make more of what's already working."
"04","Phase 4","feedback-loop","Feedback Loop","Review, refine, and double down on what your audience responds to.","#e879f9","4","r125","Pinpoint Common Patterns Clients Buy Into You From Onboarding Document","","","","Reverse Engineering Your Onboarding Form | /guides/onboarding-form","","",""
"05","Phase 5","scaling","Scaling","Interview, graduate, and scale up with advisory coaching.","#fb923c","1","r126","Client Interview w/ SooWei","","","","","Book your interview | https://calendly.com/soowei/speak","","A 1-1 interview with SooWei to pull out your story and sharpen your positioning."
"05","Phase 5","scaling","Scaling","Interview, graduate, and scale up with advisory coaching.","#fb923c","2","r127","Graduation Call: Celebrate + Plan Next Steps","","","","","","","Celebrate your progress and map the next chapter of growth."
"05","Phase 5","scaling","Scaling","Interview, graduate, and scale up with advisory coaching.","#fb923c","3","r128","Apply for Advisory Group Coaching","","","","","","","Apply to keep scaling with ongoing advisory group coaching."
