phase_label,phase_title,step,sop_url,links
"Phase 0","Onboarding","Introduce Yourself in the Community","","Example screenshot | /onboarding/community-intro-example-3.png"
"Phase 0","Onboarding","Get Access to Video Modules","","In-app | /modules"
"Phase 0","Onboarding","Fill Out Market Research Documents","","Market Research Doc | https://docs.google.com/document/d/1Xg3qMiem2dqXRjzWN9hrHTWpiecOjMoREZZNfOQpq5w/edit?usp=sharing"
"Phase 0","Onboarding","Fill Out Offer Documents","","Offer Doc | https://docs.google.com/document/d/181wHjQQ7QmktXgQzvZ4zD5jmLD7-PxQt0YGsmbfts8M/edit?usp=sharing"
"Phase 0","Onboarding","Watch the Mindset Shifts Video Modules","","Embedded modules: Mindset ; Removing Limiting Beliefs To Make $151k/mo ; Break Your Old Identity ; Maximising Goh Consulting ; Nero Mastermind Call"
"Phase 0","Onboarding","Go Through Our Referral Document","","Referral Document | https://docs.google.com/document/d/1S8olUwIfKtw5Bz5SOeLb6dWnUu4zFAh9/edit?usp=sharing&ouid=115865873155516455509&rtpof=true&sd=true"
"Phase 0","Onboarding","Book Your Onboarding With Our Fanbasis Rep","","Book your Fanbasis onboarding | https://www.fanbasis.com/book/soowei"
"Phase 1","Content Foundation","Re-Watch Offer Foundation Modules","","In-app | /modules?m=8"
"Phase 1","Content Foundation","Re-Do your Product Market Fit & Offer Doc","",""
"Phase 1","Content Foundation","Watch the Foundation of Content modules","","In-app | /modules?m=19"
"Phase 1","Content Foundation","Watch the Visual Identity Modules","","In-app | /hub"
"Phase 1","Content Foundation","Optimise your Filming Setup (eg. lighting, audio, framing)","https://experienced-munchkin-ee3.notion.site/Camera-Gear-List-be450efb645582fea4c1011266425aab",""
"Phase 2","Messaging","Watch the Brand Positioning modules","",""
"Phase 2","Messaging","Share your first breakout (a piece that beats your average) (Milestone: First Breakout)","",""
"Phase 3","Conversion","Map your prospect's buying journey A to Z + build content per stage","","Guide: Buyer's Journey | /guides/buyers-journey"
"Phase 3","Conversion","List the Objections stopping prospects from buying and convert these into Videos","","Guide: Converting Objections into Content | /guides/objections-into-content"
"Phase 3","Conversion","Publish your MOF Content","","Guide: Middle of Funnel Content | /guides/mof-content"
"Phase 3","Conversion","Check-in call to review your Organic Content Funnel","",""
"Phase 4","Feedback Loop","Watch the Feedback Loop modules","",""
"Phase 4","Feedback Loop","Cross-reference your Onboarding Document for why people buy into you","","Guide: Reverse Engineering Your Onboarding Form | /guides/onboarding-form"
"Phase 4","Feedback Loop","Double down on your Best Performers","",""
"Phase 4","Feedback Loop","Pinpoint Common Patterns Clients Buy Into You From Onboarding Document","","Guide: Reverse Engineering Your Onboarding Form | /guides/onboarding-form"
"Phase 5","Scaling","Client Interview w/ SooWei","","Book your interview | https://calendly.com/soowei/speak"
"Phase 5","Scaling","Graduation Call: Celebrate + Plan Next Steps","",""
"Phase 5","Scaling","Apply for Advisory Group Coaching","",""
