Name,Completion,Date,Resource,Status
📱 Hit your Posting Cadence (eg. 1 reel/day on IG + 1 video/week on YT),No,,,Not started
"💡 Optimise your Filming Setup (eg. lighting, audio, framing)",Yes,,,Not started
🧭 Define your Content Messaging Pillars,No,,,Not started
📞 Book 1-1 Call with Content Specialist (Only after you’ve implemented the above),Yes,,,Not started
"🎓 Apply for Advisory Group Coaching ",No,,,Not started
👕 Optimise your Visual Identity,Yes,,,Not started
🎥 Watch the MOF Masterclass modules,Yes,,,Not started
🎤 Watch the Camera Presence modules,No,,,Not started
🔎 Cross-reference your Onboarding Document for why people buy into you,No,,,Not started
🎥 Watch the Foundation of Content modules,Yes,,,Not started
🎥 Watch the Brand Positioning modules,No,,,Not started
📈 Double down on your Best Performers,No,,,Not started
"📱 Optimise your IG profile (bio, name field, link, photo)",No,,,Not started
🔁 Pinpoint Common Patterns Clients Buy Into You From Onboarding Document,No,,,Not started
📞 Client Interview w/ SooWei,No,,,Not started
,No,,,
🪝 Write your Hooks & Scripts & get them Reviewed by the Content Specialist,Yes,,,Not started
📣 Share your first breakout (a piece that beats your average) 🏆 (Milestone: First Breakout),No,,,Not started
,No,,,
Phase 1 - Content Foundation,No,,,
🎥 Watch the TOF Masterclass modules,Yes,,,Not started
,No,,,
🗺️ Map your prospect's buying journey A to Z + build content per stage,No,,,Not started
Phase 2 - Messaging,No,,,
Phase 5 - Feedback Loop,No,,,
🎥 Watch the Visual Identity Modules,Yes,,,Not started
Phase 4 - Conversion,No,,,
Phase 6 - Scaling,No,,,
,No,,,
🧱 List the Objections stopping prospects from buying and convert these into Videos,No,,,Not started
🎥 Watch the Feedback Loop modules,No,,,Not started
📌 Create your Pinned Posts,Yes,,,Not started
"📹 Publish your MOF Content ",No,,,Not started
📞 Attend Content Review Calls for direct feedback,Yes,,,Not started
📞 Graduation Call: Celebrate + Plan Next Steps,No,,,Not started
📈 Start Testing 3-5 NEW Content Formats,Yes,,,Not started
📞 Check-in call to review your Organic Content Funnel,No,,,Not started
